Ref ID,Genus,Species,Sex,Sex Confidence ,Age (years),Age Confidence ,Social with other parrots? ,Social with conspecifics?,"""mimicry"" sounds count","""phrase"" count","""word"" count",Improvisation/ word reorganization,Contextual use of mimicry,,,,,,,,,,,,,,,,,,,,
309,Amazona,oratrix,Male,High,21,Medium,Yes,No,8,6,14,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
610,Amazona,viridigenalis,Male,High,19,Medium,Yes,No,5,7,15,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
210,Amazona,viridigenalis,Female,Low,15,Low,Yes,No,10,3,4,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
49,Amazona,viridigenalis,Male,High,2.5,,No,No,4,9,18,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
696,Amazona,viridigenalis,Male,Medium,,,Yes,Yes,2,2,7,Never,Never,,,,,,,,,,,,,,,,,,,,
636,Amazona,,Unknown,Low,10,Medium,Yes,No,6,3,12,Never,Never,,,,,,,,,,,,,,,,,,,,
628,Amazona,,Female,High,,,Yes,No,12,5,13,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
559,Amazona,,Female,High,52,High,Yes,No,5,4,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
358,Ara,ararauna,Female,High,27,Low,No,,3,3,30,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
457,Ara,ararauna,Female,High,2,High,No,,2,6,19,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
490,Ara,ararauna,Unknown,N/A,20,Medium,Yes,No,8,7,15,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
654,Ara,ararauna,Male,High,1.5,High,Yes,No,25,10,30,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
871,Ara,ararauna,Female,High,18,Medium,Yes,No,0,7,11,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
72,Ara,ararauna,Male,High,6,Low,No,No,20,10,50,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
252,Ara,ararauna,Female,High,22,Medium,Yes,No,6,15,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
298,Ara,ararauna,Male,,11,Medium,No,,7,100,100,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
139,Ara,ararauna,Female,Medium,4,High,Yes,No,2,6,8,Never,Frequently,,,,,,,,,,,,,,,,,,,,
150,Ara,ararauna,Female,Medium,4,High,Yes,No,2,6,8,Never,Frequently,,,,,,,,,,,,,,,,,,,,
344,Ara,ararauna,Female,High,-1,High,No,,4,6,14,Never,Frequently,,,,,,,,,,,,,,,,,,,,
462,Ara,ararauna,Female,High,35,Medium,Yes,No,6,6,12,Never,Frequently,,,,,,,,,,,,,,,,,,,,
499,Ara,ararauna,Female,High,3,High,Yes,No,3,2,5,Never,Frequently,,,,,,,,,,,,,,,,,,,,
614,Ara,ararauna,Female,High,25,Medium,Yes,Yes,6,3,10,Never,Frequently,,,,,,,,,,,,,,,,,,,,
643,Ara,ararauna,Female,High,1,High,No,No,2,4,8,Never,Frequently,,,,,,,,,,,,,,,,,,,,
772,Ara,ararauna,Male,High,3,High,Yes,No,10,20,20,Never,Frequently,,,,,,,,,,,,,,,,,,,,
163,Ara,ararauna,Unknown,Low,20,Low,Yes,Yes,0,0,1,Never,Never,,,,,,,,,,,,,,,,,,,,
372,Ara,ararauna,Female,High,21,High,No,,3,0,3,Never,Never,,,,,,,,,,,,,,,,,,,,
176,Ara,ararauna,Male,Low,22,Medium,No,,5,3,9,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
337,Ara,ararauna,Female,Medium,7,High,No,,0,12,30,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
360,Ara,ararauna,Male,Medium,6.5,Medium,Yes,Yes,2,4,19,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
560,Ara,ararauna,Male,Medium,42,High,Yes,No,4,4,17,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
719,Ara,ararauna,Male,Medium,23,High,No,No,20,50,150,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
582,Ara,ararauna,Male,High,1,High,Yes,No,8,6,25,Frequently,Sometimes,,,,,,,,,,,,,,,,,,,,
240,Ara,ararauna,Female,High,23,High,Yes,Yes,3,1,6,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
597,Ara,ararauna,Female,Low,15,Medium,No,No,5,0,7,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
401,Ara,chloropterus,Female,High,2,High,No,,1,5,14,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
120,Ara,chloropterus,Male,High,13,Low,Yes,No,24,48,60,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
334,Ara,chloropterus,Female,High,1.5,High,No,,4,2,7,Never,Frequently,,,,,,,,,,,,,,,,,,,,
470,Ara,chloropterus,Female,High,17,Low,Yes,Yes,10,8,20,Never,Frequently,,,,,,,,,,,,,,,,,,,,
767,Ara,chloropterus,Unknown,,3,High,No,,10,0,0,,Frequently,,,,,,,,,,,,,,,,,,,,
243,Ara,chloropterus,Female,High,4,High,Yes,No,4,7,12,Never,Never,,,,,,,,,,,,,,,,,,,,
443,Ara,chloropterus,Female,,18,High,No,,1,6,60,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
888,Ara,chloropterus,Male,High,22,High,Yes,Yes,4,0,1,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
890,Ara,chloropterus,Male,High,22,High,Yes,Yes,7,2,3,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
322,Ara,glaucogularis,Male,High,3,High,Yes,Yes,7,6,6,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
864,Ara,glaucogularis,Male,Medium,15,High,No,,4,5,12,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
52,Ara,macao,Female,Low,31,,No,No,2,3,12,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
299,Ara,macao,Female,High,7,Medium,No,,4,7,4,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
398,Ara,macao,Unknown,Medium,,,No,Yes,5,3,6,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
161,Ara,macao,Male,Low,20,Low,Yes,Yes,1,0,1,Never,Never,,,,,,,,,,,,,,,,,,,,
191,Ara,macao,Female,High,42,High,Yes,Yes,7,1,4,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
699,Ara,macao,Unknown,,3.5,Low,Yes,No,3,4,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
466,Ara,militaris,Male,High,14,High,Yes,Yes,5,3,6,Never,Frequently,,,,,,,,,,,,,,,,,,,,
524,Ara,militaris,Male,High,1,High,Yes,No,2,2,10,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
476,Ara,severus,Male,High,14,Medium,No,,2,3,15,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
824,Ara,severus,Male,High,16,Medium,No,No,1,10,18,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
606,Ara,severus,Male,High,10,Low,Yes,No,3,3,20,Never,Frequently,,,,,,,,,,,,,,,,,,,,
515,Ara,severus,Male,High,20,High,No,,3,7,5,Sometimes,Never,,,,,,,,,,,,,,,,,,,,
613,Ara,,Female,Medium,8,Medium,Yes,Yes,10,55,83,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
555,Ara,,Male,High,1,High,No,Yes,5,3,10,,,,,,,,,,,,,,,,,,,,,,
642,Aratinga,jandaya,Unknown,Low,2,High,Yes,No,1,3,5,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
556,Aratinga,jandaya,Female,High,26,High,Yes,No,1,1,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
880,Aratinga,nenday,Female,High,26,High,No,,3,8,18,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
434,Aratinga,nenday,Unknown,,12,High,Yes,No,5,2,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
694,Aratinga,solstitialis,Unknown,,7,Low,Yes,No,2,15,24,Sometimes,Frequently,,,,,,,,,,,,,,,,,,,,
739,Aratinga,solstitialis,Male,High,,,No,,5,15,30,Frequently,Frequently,,,,,,,,,,,,,,,,,,,,
92,Aratinga,solstitialis,Female,High,16,High,No,,2,0,3,Never,Frequently,,,,,,,,,,,,,,,,,,,,
195,Aratinga,solstitialis,Female,Medium,,,Yes,Yes,2,0,1,Never,Frequently,,,,,,,,,,,,,,,,,,,,
196,Aratinga,solstitialis,Female,Medium,,,Yes,Yes,2,1,1,Never,Frequently,,,,,,,,,,,,,,,,,,,,
825,Aratinga,solstitialis,Female,High,13,Medium,Yes,Yes,3,0,4,Never,Frequently,,,,,,,,,,,,,,,,,,,,
464,Aratinga,solstitialis,Male,High,9,High,Yes,No,3,0,0,,Frequently,,,,,,,,,,,,,,,,,,,,
542,Aratinga,solstitialis,Female,Medium,7,Medium,No,No,1,0,0,,Frequently,,,,,,,,,,,,,,,,,,,,
509,Aratinga,solstitialis,Male,High,4,High,No,,5,0,1,Never,Never,,,,,,,,,,,,,,,,,,,,
612,Aratinga,solstitialis,Male,Low,12,High,No,No,1,3,10,Never,Never,,,,,,,,,,,,,,,,,,,,
400,Aratinga,solstitialis,Unknown,,1,Medium,No,,6,0,0,,Never,,,,,,,,,,,,,,,,,,,,
382,Aratinga,solstitialis,Female,Medium,,,No,,1,3,7,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
47,Aratinga,solstitialis,Female,High,11.5,Low,No,,2,2,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
335,Aratinga,solstitialis,Male,Low,,Low,Yes,No,2,1,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
395,Aratinga,solstitialis,Unknown,,3,High,No,,2,0,0,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
826,Aratinga,solstitialis,Male,High,5,Low,Yes,Yes,1,0,2,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
887,Aratinga ,solstitialis,Female,Medium,7,High,Yes,No,0,1,3,Never,Never,,,,,,,,,,,,,,,,,,,,
661,Bolborhynchus,lineola,Unknown,,9,Low,No,No,11,0,1,Never,Frequently,,,,,,,,,,,,,,,,,,,,
394,Bolborhynchus,lineola,Unknown,Low,,,Yes,Yes,4,10,19,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
617,Bolborhynchus,lineola,Male,High,3.5,Medium,Yes,No,0,2,4,Sometimes,Sometimes,,,,,,,,,,,,,,,,,,,,
596,Bolborhynchus,lineola,Male,High,8,High,No,No,3,3,4,Never,Sometimes,,,,,,,,,,,,,,,,,,,,
